ADM0_NAME,M49Code,period,number_of_bad_lakes,number_of_good_lakes,bad_percentage,total_lakes
Benin,204.0,2020,0.0,0.0,0.0,1
Benin,204.0,2021,0.0,0.0,0.0,1
Bolivia (Plurinational State of),68.0,2017,10.0,15.0,40.0,25
Bolivia (Plurinational State of),68.0,2018,9.0,16.0,36.0,25
Bolivia (Plurinational State of),68.0,2019,12.0,13.0,48.0,25
Bolivia (Plurinational State of),68.0,2020,11.0,14.0,44.0,25
Bolivia (Plurinational State of),68.0,2021,12.0,13.0,48.0,25
Bosnia and Herzegovina,70.0,2017,1.0,1.0,50.0,2
Bosnia and Herzegovina,70.0,2018,0.0,0.0,0.0,2
Bosnia and Herzegovina,70.0,2019,0.0,0.0,0.0,2
Bosnia and Herzegovina,70.0,2020,1.0,1.0,50.0,2
Bosnia and Herzegovina,70.0,2021,1.0,1.0,50.0,2
Botswana,72.0,2017,2.0,2.0,50.0,4
Botswana,72.0,2018,1.0,3.0,25.0,4
Botswana,72.0,2019,0.0,0.0,0.0,4
Botswana,72.0,2020,1.0,3.0,25.0,4
Botswana,72.0,2021,1.0,3.0,25.0,4
Brazil,76.0,2017,32.0,98.0,24.615384615384617,130
Brazil,76.0,2018,20.0,110.0,15.384615384615383,130
Brazil,76.0,2019,19.0,111.0,14.615384615384617,130
Brazil,76.0,2020,40.0,90.0,30.76923076923077,130
Brazil,76.0,2021,29.0,101.0,22.30769230769231,130
Bulgaria,100.0,2017,0.0,0.0,0.0,2
Bulgaria,100.0,2018,0.0,0.0,0.0,2
Bulgaria,100.0,2019,0.0,0.0,0.0,2
Bulgaria,100.0,2020,0.0,0.0,0.0,2
Bulgaria,100.0,2021,0.0,0.0,0.0,2
Burkina Faso,854.0,2017,1.0,1.0,50.0,2
Burkina Faso,854.0,2018,1.0,1.0,50.0,2
Burkina Faso,854.0,2019,2.0,0.0,100.0,2
Burkina Faso,854.0,2020,2.0,0.0,100.0,2
Burkina Faso,854.0,2021,1.0,1.0,50.0,2
Burundi,108.0,2017,1.0,1.0,50.0,2
Burundi,108.0,2018,1.0,1.0,50.0,2
Burundi,108.0,2019,1.0,1.0,50.0,2
Burundi,108.0,2020,1.0,1.0,50.0,2
Burundi,108.0,2021,0.0,0.0,0.0,2
Cambodia,116.0,2017,1.0,0.0,100.0,1
Cambodia,116.0,2018,0.0,0.0,0.0,1
Cambodia,116.0,2019,1.0,0.0,100.0,1
Cambodia,116.0,2020,1.0,0.0,100.0,1
Cambodia,116.0,2021,1.0,0.0,100.0,1
Cameroon,120.0,2017,0.0,0.0,0.0,5
Cameroon,120.0,2018,1.0,4.0,20.0,5
Cameroon,120.0,2019,1.0,4.0,20.0,5
Cameroon,120.0,2020,0.0,0.0,0.0,5
Cameroon,120.0,2021,0.0,0.0,0.0,5
Canada,124.0,2017,141.0,1123.0,11.15506329113924,1264
Canada,124.0,2018,181.0,1083.0,14.319620253164558,1264
Canada,124.0,2019,643.0,621.0,50.87025316455696,1264
Canada,124.0,2020,401.0,863.0,31.7246835443038,1264
Canada,124.0,2021,488.0,776.0,38.607594936708864,1264
Central African Republic,140.0,2017,0.0,0.0,0.0,1
Central African Republic,140.0,2018,0.0,0.0,0.0,1
Central African Republic,140.0,2019,0.0,0.0,0.0,1
Central African Republic,140.0,2020,0.0,0.0,0.0,1
Central African Republic,140.0,2021,0.0,0.0,0.0,1
Chad,148.0,2017,2.0,1.0,66.66666666666666,3
Chad,148.0,2018,2.0,1.0,66.66666666666666,3
Chad,148.0,2019,1.0,2.0,33.33333333333333,3
Chad,148.0,2020,1.0,2.0,33.33333333333333,3
Chad,148.0,2021,1.0,2.0,33.33333333333333,3
Chile,152.0,2017,8.0,27.0,22.857142857142858,35
Chile,152.0,2018,7.0,28.0,20.0,35
Chile,152.0,2019,9.0,26.0,25.71428571428571,35
Chile,152.0,2020,27.0,8.0,77.14285714285715,35
Chile,152.0,2021,8.0,27.0,22.857142857142858,35
China,156.0,2017,43.0,240.0,15.19434628975265,283
China,156.0,2018,50.0,233.0,17.6678445229682,283
China,156.0,2019,43.0,240.0,15.19434628975265,283
China,156.0,2020,48.0,235.0,16.96113074204947,283
China,156.0,2021,41.0,242.0,14.487632508833922,283
Colombia,170.0,2017,7.0,17.0,29.166666666666668,24
Colombia,170.0,2018,5.0,19.0,20.833333333333336,24
Colombia,170.0,2019,7.0,17.0,29.166666666666668,24
Colombia,170.0,2020,11.0,13.0,45.83333333333333,24
Colombia,170.0,2021,5.0,19.0,20.833333333333336,24
Congo,178.0,2017,0.0,0.0,0.0,2
Congo,178.0,2018,0.0,0.0,0.0,2
Congo,178.0,2019,0.0,0.0,0.0,2
Congo,178.0,2020,0.0,0.0,0.0,2
Congo,178.0,2021,0.0,0.0,0.0,2
Costa Rica,188.0,2017,0.0,0.0,0.0,1
Costa Rica,188.0,2018,0.0,0.0,0.0,1
Costa Rica,188.0,2019,0.0,0.0,0.0,1
Costa Rica,188.0,2020,0.0,0.0,0.0,1
Costa Rica,188.0,2021,0.0,0.0,0.0,1
Croatia,191.0,2017,0.0,0.0,0.0,2
Croatia,191.0,2018,2.0,0.0,100.0,2
Croatia,191.0,2019,0.0,0.0,0.0,2
Croatia,191.0,2020,0.0,0.0,0.0,2
Croatia,191.0,2021,0.0,0.0,0.0,2
Cuba,192.0,2017,1.0,2.0,33.33333333333333,3
Cuba,192.0,2018,0.0,0.0,0.0,3
Cuba,192.0,2019,0.0,0.0,0.0,3
Cuba,192.0,2020,1.0,2.0,33.33333333333333,3
Cuba,192.0,2021,0.0,0.0,0.0,3
Czechia,203.0,2017,0.0,0.0,0.0,2
Czechia,203.0,2018,0.0,0.0,0.0,2
Czechia,203.0,2019,0.0,0.0,0.0,2
Czechia,203.0,2020,0.0,0.0,0.0,2
Czechia,203.0,2021,1.0,1.0,50.0,2
Côte d'Ivoire,384.0,2020,2.0,4.0,33.33333333333333,6
Côte d'Ivoire,384.0,2021,2.0,4.0,33.33333333333333,6
C�te d'Ivoire,384.0,2017,1.0,5.0,16.666666666666664,6
C�te d'Ivoire,384.0,2018,1.0,5.0,16.666666666666664,6
C�te d'Ivoire,384.0,2019,1.0,5.0,16.666666666666664,6
Democratic People's Republic of Korea,408.0,2017,0.0,0.0,0.0,2
Democratic People's Republic of Korea,408.0,2018,0.0,0.0,0.0,2
Democratic People's Republic of Korea,408.0,2019,0.0,0.0,0.0,2
Democratic People's Republic of Korea,408.0,2020,0.0,0.0,0.0,2
Democratic People's Republic of Korea,408.0,2021,0.0,0.0,0.0,2
Democratic Republic of the Congo,180.0,2017,3.0,17.0,15.0,20
Democratic Republic of the Congo,180.0,2018,1.0,19.0,5.0,20
Democratic Republic of the Congo,180.0,2019,1.0,19.0,5.0,20
Democratic Republic of the Congo,180.0,2020,0.0,0.0,0.0,20
Democratic Republic of the Congo,180.0,2021,0.0,0.0,0.0,20
Denmark,208.0,2017,0.0,0.0,0.0,5
Denmark,208.0,2018,1.0,4.0,20.0,5
Denmark,208.0,2019,1.0,4.0,20.0,5
Denmark,208.0,2020,1.0,4.0,20.0,5
Denmark,208.0,2021,1.0,4.0,20.0,5
Djibouti,262.0,2017,0.0,0.0,0.0,2
Djibouti,262.0,2018,2.0,0.0,100.0,2
Djibouti,262.0,2019,0.0,0.0,0.0,2
Djibouti,262.0,2020,0.0,0.0,0.0,2
Djibouti,262.0,2021,1.0,1.0,50.0,2
Dominican Republic,214.0,2017,0.0,0.0,0.0,2
Dominican Republic,214.0,2018,0.0,0.0,0.0,2
Dominican Republic,214.0,2019,0.0,0.0,0.0,2
Dominican Republic,214.0,2020,0.0,0.0,0.0,2
Dominican Republic,214.0,2021,0.0,0.0,0.0,2
Ecuador,218.0,2017,0.0,0.0,0.0,1
Ecuador,218.0,2018,0.0,0.0,0.0,1
Ecuador,218.0,2019,0.0,0.0,0.0,1
Ecuador,218.0,2020,0.0,0.0,0.0,1
Ecuador,218.0,2021,0.0,0.0,0.0,1
Egypt,818.0,2017,4.0,7.0,36.36363636363637,11
Egypt,818.0,2018,4.0,7.0,36.36363636363637,11
Egypt,818.0,2019,5.0,6.0,45.45454545454545,11
Egypt,818.0,2020,2.0,9.0,18.181818181818183,11
Egypt,818.0,2021,2.0,9.0,18.181818181818183,11
El Salvador,222.0,2017,0.0,0.0,0.0,2
El Salvador,222.0,2018,0.0,0.0,0.0,2
El Salvador,222.0,2019,1.0,1.0,50.0,2
El Salvador,222.0,2020,0.0,0.0,0.0,2
El Salvador,222.0,2021,0.0,0.0,0.0,2
Estonia,233.0,2017,0.0,0.0,0.0,4
Estonia,233.0,2018,1.0,3.0,25.0,4
Estonia,233.0,2019,0.0,0.0,0.0,4
Estonia,233.0,2020,0.0,0.0,0.0,4
Estonia,233.0,2021,0.0,0.0,0.0,4
Eswatini,748.0,2017,1.0,0.0,100.0,1
Eswatini,748.0,2018,1.0,0.0,100.0,1
Eswatini,748.0,2019,1.0,0.0,100.0,1
Eswatini,748.0,2020,1.0,0.0,100.0,1
Eswatini,748.0,2021,1.0,0.0,100.0,1
Ethiopia,231.0,2017,7.0,14.0,33.33333333333333,21
Ethiopia,231.0,2018,7.0,14.0,33.33333333333333,21
Ethiopia,231.0,2019,7.0,14.0,33.33333333333333,21
Ethiopia,231.0,2020,8.0,13.0,38.095238095238095,21
Ethiopia,231.0,2021,7.0,14.0,33.33333333333333,21
Finland,246.0,2017,29.0,62.0,31.868131868131865,91
Finland,246.0,2018,37.0,54.0,40.65934065934066,91
Finland,246.0,2019,63.0,28.0,69.23076923076923,91
Finland,246.0,2020,18.0,73.0,19.78021978021978,91
Finland,246.0,2021,23.0,68.0,25.274725274725277,91
France,250.0,2017,0.0,0.0,0.0,8
France,250.0,2018,0.0,0.0,0.0,8
France,250.0,2019,1.0,7.0,12.5,8
France,250.0,2020,2.0,6.0,25.0,8
France,250.0,2021,1.0,7.0,12.5,8
Gabon,266.0,2017,0.0,0.0,0.0,6
Gabon,266.0,2018,0.0,0.0,0.0,6
Gabon,266.0,2019,0.0,0.0,0.0,6
Gabon,266.0,2020,0.0,0.0,0.0,6
Gabon,266.0,2021,0.0,0.0,0.0,6
Gambia,270.0,2017,0.0,0.0,0.0,1
Gambia,270.0,2018,0.0,0.0,0.0,1
Gambia,270.0,2019,0.0,0.0,0.0,1
Gambia,270.0,2020,0.0,0.0,0.0,1
Gambia,270.0,2021,0.0,0.0,0.0,1
Germany,276.0,2017,0.0,0.0,0.0,19
Germany,276.0,2018,1.0,18.0,5.263157894736842,19
Germany,276.0,2019,1.0,18.0,5.263157894736842,19
Germany,276.0,2020,2.0,17.0,10.526315789473683,19
Germany,276.0,2021,2.0,17.0,10.526315789473683,19
Ghana,288.0,2017,1.0,3.0,25.0,4
Ghana,288.0,2018,1.0,3.0,25.0,4
Ghana,288.0,2019,1.0,3.0,25.0,4
Ghana,288.0,2020,1.0,3.0,25.0,4
Ghana,288.0,2021,1.0,3.0,25.0,4
Greece,300.0,2017,0.0,0.0,0.0,9
Greece,300.0,2018,0.0,0.0,0.0,9
Greece,300.0,2019,0.0,0.0,0.0,9
Greece,300.0,2020,0.0,0.0,0.0,9
Greece,300.0,2021,0.0,0.0,0.0,9
Guatemala,320.0,2017,0.0,0.0,0.0,3
Guatemala,320.0,2018,0.0,0.0,0.0,3
Guatemala,320.0,2019,0.0,0.0,0.0,3
Guatemala,320.0,2020,0.0,0.0,0.0,3
Guatemala,320.0,2021,0.0,0.0,0.0,3
Guinea,324.0,2017,1.0,1.0,50.0,2
Guinea,324.0,2018,0.0,0.0,0.0,2
Guinea,324.0,2019,0.0,0.0,0.0,2
Guinea,324.0,2020,0.0,0.0,0.0,2
Guinea,324.0,2021,1.0,1.0,50.0,2
Haiti,332.0,2017,0.0,0.0,0.0,1
Haiti,332.0,2018,0.0,0.0,0.0,1
Haiti,332.0,2019,1.0,0.0,100.0,1
Haiti,332.0,2020,1.0,0.0,100.0,1
Haiti,332.0,2021,1.0,0.0,100.0,1
Honduras,340.0,2017,0.0,0.0,0.0,5
Honduras,340.0,2018,0.0,0.0,0.0,5
Honduras,340.0,2019,0.0,0.0,0.0,5
Honduras,340.0,2020,0.0,0.0,0.0,5
Honduras,340.0,2021,1.0,4.0,20.0,5
Hungary,348.0,2017,1.0,3.0,25.0,4
Hungary,348.0,2018,1.0,3.0,25.0,4
Hungary,348.0,2019,1.0,3.0,25.0,4
Hungary,348.0,2020,1.0,3.0,25.0,4
Hungary,348.0,2021,1.0,3.0,25.0,4
Iceland,352.0,2017,1.0,3.0,25.0,4
Iceland,352.0,2018,0.0,0.0,0.0,4
Iceland,352.0,2019,0.0,0.0,0.0,4
Iceland,352.0,2020,0.0,0.0,0.0,4
Iceland,352.0,2021,1.0,3.0,25.0,4
India,356.0,2017,3.0,75.0,3.8461538461538463,78
India,356.0,2018,2.0,76.0,2.564102564102564,78
India,356.0,2019,4.0,74.0,5.128205128205128,78
India,356.0,2020,2.0,76.0,2.564102564102564,78
India,356.0,2021,2.0,76.0,2.564102564102564,78
Indonesia,360.0,2017,1.0,24.0,4.0,25
Indonesia,360.0,2018,4.0,21.0,16.0,25
Indonesia,360.0,2019,5.0,20.0,20.0,25
Indonesia,360.0,2020,4.0,21.0,16.0,25
Indonesia,360.0,2021,6.0,19.0,24.0,25
Iran (Islamic Republic of),364.0,2017,4.0,5.0,44.44444444444444,9
Iran (Islamic Republic of),364.0,2018,4.0,5.0,44.44444444444444,9
Iran (Islamic Republic of),364.0,2019,2.0,7.0,22.22222222222222,9
Iran (Islamic Republic of),364.0,2020,5.0,4.0,55.55555555555556,9
Iran (Islamic Republic of),364.0,2021,3.0,6.0,33.33333333333333,9
Iraq,368.0,2017,2.0,11.0,15.384615384615383,13
Iraq,368.0,2018,4.0,9.0,30.76923076923077,13
Iraq,368.0,2019,1.0,12.0,7.6923076923076925,13
Iraq,368.0,2020,0.0,0.0,0.0,13
Iraq,368.0,2021,1.0,12.0,7.6923076923076925,13
Ireland,372.0,2017,1.0,13.0,7.142857142857142,14
Ireland,372.0,2018,0.0,0.0,0.0,14
Ireland,372.0,2019,5.0,9.0,35.714285714285715,14
Ireland,372.0,2020,5.0,9.0,35.714285714285715,14
Ireland,372.0,2021,6.0,8.0,42.85714285714285,14
Israel,376.0,2017,0.0,0.0,0.0,3
Israel,376.0,2018,0.0,0.0,0.0,3
Israel,376.0,2019,0.0,0.0,0.0,3
Israel,376.0,2020,0.0,0.0,0.0,3
Israel,376.0,2021,0.0,0.0,0.0,3
Italy,380.0,2017,1.0,18.0,5.263157894736842,19
Italy,380.0,2018,0.0,0.0,0.0,19
Italy,380.0,2019,5.0,14.0,26.31578947368421,19
Italy,380.0,2020,1.0,18.0,5.263157894736842,19
Italy,380.0,2021,5.0,14.0,26.31578947368421,19
Jammu and Kashmir,1052.0,2017,0.0,0.0,0.0,4
Jammu and Kashmir,1052.0,2018,0.0,0.0,0.0,4
Jammu and Kashmir,1052.0,2019,0.0,0.0,0.0,4
Jammu and Kashmir,1052.0,2020,0.0,0.0,0.0,4
Jammu and Kashmir,1052.0,2021,0.0,0.0,0.0,4
Japan,392.0,2017,0.0,0.0,0.0,9
Japan,392.0,2018,0.0,0.0,0.0,9
Japan,392.0,2019,0.0,0.0,0.0,9
Japan,392.0,2020,0.0,0.0,0.0,9
Japan,392.0,2021,0.0,0.0,0.0,9
Jordan,400.0,2017,0.0,0.0,0.0,1
Jordan,400.0,2018,0.0,0.0,0.0,1
Jordan,400.0,2019,0.0,0.0,0.0,1
Jordan,400.0,2020,0.0,0.0,0.0,1
Jordan,400.0,2021,0.0,0.0,0.0,1
Kazakhstan,398.0,2017,5.0,52.0,8.771929824561402,57
Kazakhstan,398.0,2018,5.0,52.0,8.771929824561402,57
Kazakhstan,398.0,2019,4.0,53.0,7.017543859649122,57
Kazakhstan,398.0,2020,3.0,54.0,5.263157894736842,57
Kazakhstan,398.0,2021,2.0,55.0,3.508771929824561,57
Kenya,404.0,2017,0.0,0.0,0.0,10
Kenya,404.0,2018,1.0,9.0,10.0,10
Kenya,404.0,2019,1.0,9.0,10.0,10
Kenya,404.0,2020,0.0,0.0,0.0,10
Kenya,404.0,2021,0.0,0.0,0.0,10
Kyrgyzstan,417.0,2017,0.0,0.0,0.0,4
Kyrgyzstan,417.0,2018,0.0,0.0,0.0,4
Kyrgyzstan,417.0,2019,0.0,0.0,0.0,4
Kyrgyzstan,417.0,2020,0.0,0.0,0.0,4
Kyrgyzstan,417.0,2021,0.0,0.0,0.0,4
Lao People's Democratic Republic,418.0,2017,0.0,0.0,0.0,1
Lao People's Democratic Republic,418.0,2018,0.0,0.0,0.0,1
Lao People's Democratic Republic,418.0,2019,0.0,0.0,0.0,1
Lao People's Democratic Republic,418.0,2020,0.0,0.0,0.0,1
Lao People's Democratic Republic,418.0,2021,0.0,0.0,0.0,1
Latvia,428.0,2017,1.0,6.0,14.285714285714285,7
Latvia,428.0,2018,2.0,5.0,28.57142857142857,7
Latvia,428.0,2019,0.0,0.0,0.0,7
Latvia,428.0,2020,1.0,6.0,14.285714285714285,7
Latvia,428.0,2021,2.0,5.0,28.57142857142857,7
Libya,434.0,2017,0.0,0.0,0.0,1
Libya,434.0,2018,0.0,0.0,0.0,1
Libya,434.0,2019,0.0,0.0,0.0,1
Libya,434.0,2020,1.0,0.0,100.0,1
Libya,434.0,2021,1.0,0.0,100.0,1
Lithuania,440.0,2017,0.0,0.0,0.0,6
Lithuania,440.0,2018,2.0,4.0,33.33333333333333,6
Lithuania,440.0,2019,1.0,5.0,16.666666666666664,6
Lithuania,440.0,2020,0.0,0.0,0.0,6
Lithuania,440.0,2021,1.0,5.0,16.666666666666664,6
Madagascar,450.0,2017,2.0,10.0,16.666666666666664,12
Madagascar,450.0,2018,3.0,9.0,25.0,12
Madagascar,450.0,2019,3.0,9.0,25.0,12
Madagascar,450.0,2020,5.0,7.0,41.66666666666667,12
Madagascar,450.0,2021,6.0,6.0,50.0,12
Malawi,454.0,2017,1.0,3.0,25.0,4
Malawi,454.0,2018,1.0,3.0,25.0,4
Malawi,454.0,2019,1.0,3.0,25.0,4
Malawi,454.0,2020,1.0,3.0,25.0,4
Malawi,454.0,2021,1.0,3.0,25.0,4
Malaysia,458.0,2017,0.0,0.0,0.0,5
Malaysia,458.0,2018,0.0,0.0,0.0,5
Malaysia,458.0,2019,0.0,0.0,0.0,5
Malaysia,458.0,2020,1.0,4.0,20.0,5
Malaysia,458.0,2021,0.0,0.0,0.0,5
Mali,466.0,2017,0.0,0.0,0.0,4
Mali,466.0,2018,0.0,0.0,0.0,4
Mali,466.0,2019,0.0,0.0,0.0,4
Mali,466.0,2020,0.0,0.0,0.0,4
Mali,466.0,2021,1.0,3.0,25.0,4
Mauritania,478.0,2017,1.0,1.0,50.0,2
Mauritania,478.0,2018,0.0,0.0,0.0,2
Mauritania,478.0,2019,1.0,1.0,50.0,2
Mauritania,478.0,2020,1.0,1.0,50.0,2
Mauritania,478.0,2021,0.0,0.0,0.0,2
Mexico,484.0,2017,3.0,39.0,7.142857142857142,42
Mexico,484.0,2018,7.0,35.0,16.666666666666664,42
Mexico,484.0,2019,10.0,32.0,23.809523809523807,42
Mexico,484.0,2020,9.0,33.0,21.428571428571427,42
Mexico,484.0,2021,11.0,31.0,26.190476190476197,42
Moldova,498.0,2017,1.0,3.0,25.0,4
Moldova,498.0,2018,1.0,3.0,25.0,4
Moldova,498.0,2019,0.0,0.0,0.0,4
Moldova,498.0,2020,0.0,0.0,0.0,4
Moldova,498.0,2021,0.0,0.0,0.0,4
Mongolia,496.0,2017,4.0,24.0,14.285714285714285,28
Mongolia,496.0,2018,3.0,25.0,10.714285714285714,28
Mongolia,496.0,2019,4.0,24.0,14.285714285714285,28
Mongolia,496.0,2020,4.0,24.0,14.285714285714285,28
Mongolia,496.0,2021,5.0,23.0,17.857142857142858,28
Montenegro,499.0,2017,0.0,0.0,0.0,1
Montenegro,499.0,2018,0.0,0.0,0.0,1
Montenegro,499.0,2019,0.0,0.0,0.0,1
Montenegro,499.0,2020,0.0,0.0,0.0,1
Montenegro,499.0,2021,0.0,0.0,0.0,1
Morocco,504.0,2017,2.0,5.0,28.57142857142857,7
Morocco,504.0,2018,1.0,6.0,14.285714285714285,7
Morocco,504.0,2019,1.0,6.0,14.285714285714285,7
Morocco,504.0,2020,3.0,4.0,42.85714285714285,7
Morocco,504.0,2021,3.0,4.0,42.85714285714285,7
Mozambique,508.0,2017,4.0,15.0,21.052631578947366,19
Mozambique,508.0,2018,4.0,15.0,21.052631578947366,19
Mozambique,508.0,2019,5.0,14.0,26.31578947368421,19
Mozambique,508.0,2020,5.0,14.0,26.31578947368421,19
Mozambique,508.0,2021,6.0,13.0,31.57894736842105,19
Myanmar,104.0,2017,0.0,0.0,0.0,5
Myanmar,104.0,2018,0.0,0.0,0.0,5
Myanmar,104.0,2019,0.0,0.0,0.0,5
Myanmar,104.0,2020,1.0,4.0,20.0,5
Myanmar,104.0,2021,1.0,4.0,20.0,5
Namibia,516.0,2017,0.0,0.0,0.0,2
Namibia,516.0,2018,0.0,0.0,0.0,2
Namibia,516.0,2019,0.0,0.0,0.0,2
Namibia,516.0,2020,0.0,0.0,0.0,2
Namibia,516.0,2021,0.0,0.0,0.0,2
Netherlands,528.0,2017,1.0,2.0,33.33333333333333,3
Netherlands,528.0,2018,1.0,2.0,33.33333333333333,3
Netherlands,528.0,2019,1.0,2.0,33.33333333333333,3
Netherlands,528.0,2020,1.0,2.0,33.33333333333333,3
Netherlands,528.0,2021,1.0,2.0,33.33333333333333,3
New Zealand,554.0,2017,2.0,14.0,12.5,16
New Zealand,554.0,2018,2.0,14.0,12.5,16
New Zealand,554.0,2019,3.0,13.0,18.75,16
New Zealand,554.0,2020,9.0,7.0,56.25,16
New Zealand,554.0,2021,3.0,13.0,18.75,16
Nicaragua,558.0,2017,0.0,0.0,0.0,3
Nicaragua,558.0,2018,0.0,0.0,0.0,3
Nicaragua,558.0,2019,0.0,0.0,0.0,3
Nicaragua,558.0,2020,0.0,0.0,0.0,3
Nicaragua,558.0,2021,0.0,0.0,0.0,3
Nigeria,566.0,2017,3.0,11.0,21.428571428571427,14
Nigeria,566.0,2018,3.0,11.0,21.428571428571427,14
Nigeria,566.0,2019,3.0,11.0,21.428571428571427,14
Nigeria,566.0,2020,3.0,11.0,21.428571428571427,14
Nigeria,566.0,2021,3.0,11.0,21.428571428571427,14
North Macedonia,807.0,2017,0.0,0.0,0.0,3
North Macedonia,807.0,2018,0.0,0.0,0.0,3
North Macedonia,807.0,2019,0.0,0.0,0.0,3
North Macedonia,807.0,2020,0.0,0.0,0.0,3
North Macedonia,807.0,2021,0.0,0.0,0.0,3
Norway,578.0,2017,6.0,53.0,10.16949152542373,59
Norway,578.0,2018,9.0,50.0,15.254237288135592,59
Norway,578.0,2019,39.0,20.0,66.10169491525424,59
Norway,578.0,2020,16.0,43.0,27.11864406779661,59
Norway,578.0,2021,21.0,38.0,35.59322033898305,59
Pakistan,586.0,2017,0.0,0.0,0.0,7
Pakistan,586.0,2018,1.0,6.0,14.285714285714285,7
Pakistan,586.0,2019,1.0,6.0,14.285714285714285,7
Pakistan,586.0,2020,0.0,0.0,0.0,7
Pakistan,586.0,2021,2.0,5.0,28.57142857142857,7
Panama,591.0,2017,0.0,0.0,0.0,1
Panama,591.0,2018,0.0,0.0,0.0,1
Panama,591.0,2019,0.0,0.0,0.0,1
Panama,591.0,2020,0.0,0.0,0.0,1
Panama,591.0,2021,0.0,0.0,0.0,1
Papua New Guinea,598.0,2017,0.0,0.0,0.0,7
Papua New Guinea,598.0,2018,1.0,6.0,14.285714285714285,7
Papua New Guinea,598.0,2019,0.0,0.0,0.0,7
